street,hero_hand,spr,in_position,num_players,board_texture,action_history
preflop,5s4h,10.0,0,13,empty,C
preflop,5h3c,10.0,0,13,empty,C
preflop,9s9d,10.0,0,13,empty,C
preflop,2dKc,10.0,0,13,empty,C
preflop,AhKc,10.0,0,12,empty,C
preflop,Ac7s,10.0,0,12,empty,R
preflop,KsKc,10.0,0,12,empty,R
preflop,KdKs,10.0,0,12,empty,R
preflop,3cQc,10.0,0,13,empty,C
preflop,5h5s,10.0,0,13,empty,R
preflop,3dAd,10.0,0,13,empty,C
preflop,3cAh,10.0,0,13,empty,C
preflop,5d4d,10.0,0,13,empty,R
preflop,Ah2s,10.0,0,13,empty,R
preflop,KsAc,10.0,0,13,empty,R
preflop,As5s,10.0,0,13,empty,R
preflop,TdQs,10.0,0,13,empty,C
preflop,ThTd,10.0,0,13,empty,C
preflop,JsQs,10.0,0,13,empty,C
preflop,QdQc,10.0,0,13,empty,R
preflop,AsQd,10.0,0,13,empty,R
preflop,JcKh,10.0,0,13,empty,R
preflop,9cJc,10.0,0,13,empty,C
preflop,AcQs,10.0,0,13,empty,R
preflop,Kc4c,10.0,0,13,empty,C
preflop,ThAc,10.0,0,13,empty,R
preflop,9d8s,10.0,0,13,empty,C
preflop,TsQh,10.0,0,13,empty,C
preflop,TdTc,10.0,0,13,empty,R
preflop,5d4d,10.0,0,13,empty,C
preflop,7c5c,10.0,0,13,empty,C
preflop,QdAs,10.0,0,13,empty,R
preflop,Ah7h,10.0,0,13,empty,R
preflop,KdJh,10.0,0,13,empty,C
preflop,JhKc,10.0,0,13,empty,C
preflop,AhKh,10.0,0,13,empty,R
preflop,6h4h,10.0,0,12,empty,C
preflop,ThTd,10.0,0,13,empty,R
preflop,QcTc,10.0,0,13,empty,R
preflop,Kc8s,10.0,0,13,empty,C
preflop,5hQh,10.0,0,13,empty,C
preflop,2dQd,10.0,0,13,empty,C
preflop,AdTh,10.0,0,13,empty,R
preflop,KcAd,10.0,0,13,empty,R
preflop,5h5s,10.0,0,13,empty,C
preflop,KcAh,10.0,0,13,empty,R
preflop,QhJh,10.0,0,13,empty,R
preflop,AsTc,10.0,0,13,empty,R
preflop,AdAs,10.0,0,13,empty,R
preflop,7c3s,10.0,0,12,empty,C
preflop,5dAc,10.0,0,13,empty,C
preflop,3c4d,10.0,0,13,empty,C
preflop,KcTs,10.0,0,13,empty,C
preflop,TsTd,10.0,0,12,empty,R
preflop,KdQd,10.0,0,5,empty,C
preflop,6hJs,10.0,0,6,empty,C
preflop,TcAc,10.0,0,10,empty,C
preflop,6h7h,10.0,0,13,empty,R
preflop,7c9c,10.0,0,12,empty,R
preflop,JdTh,10.0,0,13,empty,C
preflop,7sTh,10.0,0,13,empty,C
preflop,4hKs,10.0,0,13,empty,C
preflop,QsTs,10.0,0,13,empty,C
preflop,2h2d,10.0,0,12,empty,C
preflop,8hAh,10.0,0,12,empty,C
preflop,AhTs,10.0,0,13,empty,R
preflop,As2s,10.0,0,13,empty,C
preflop,QsTs,10.0,0,13,empty,C
preflop,2d2h,10.0,0,13,empty,R
preflop,Jc7d,10.0,0,11,empty,C
preflop,7s7h,10.0,0,13,empty,R
preflop,TcJd,10.0,0,13,empty,R
preflop,5hKh,10.0,0,13,empty,C
preflop,2h7c,10.0,0,13,empty,C
preflop,6c5c,10.0,0,13,empty,C
preflop,Kd9c,10.0,0,10,empty,C
preflop,KcAs,10.0,0,12,empty,R
preflop,JdAs,10.0,0,9,empty,C
preflop,7sAc,10.0,0,11,empty,C
preflop,Ts3s,10.0,0,12,empty,R
preflop,9s9h,10.0,0,13,empty,R
preflop,Js9s,10.0,0,13,empty,C
preflop,3cTc,10.0,0,13,empty,C
