street,hero_hand,spr,in_position,num_players,board_texture,action_history
flop,AsQd,10.0,0,13,two-tone,C
flop,TsTd,10.0,0,13,two-tone,R
flop,Kh9h,10.0,0,13,rainbow,
flop,Td3h,10.0,0,13,rainbow,
flop,5s6s,10.0,0,13,rainbow,
flop,5c6c,10.0,0,12,two-tone,R
flop,3c3h,10.0,0,13,two-tone,C
flop,6h9h,10.0,0,13,two-tone,
flop,2d7d,10.0,0,13,rainbow,C
flop,Ah2h,10.0,0,13,two-tone,R
flop,3h3s,10.0,0,13,two-tone,C
flop,KsAs,10.0,0,13,two-tone,C
flop,As9c,10.0,0,13,two-tone,C
flop,Js6s,10.0,0,13,rainbow,C
flop,7s8h,10.0,0,13,rainbow,
flop,6cQc,10.0,0,13,two-tone,C
flop,AcJc,10.0,0,13,two-tone,
flop,8d5h,10.0,0,13,two-tone,
flop,AhAs,10.0,0,13,two-tone,C
flop,2c2h,10.0,0,13,two-tone,C
flop,3c3s,10.0,0,11,two-tone,C
flop,2c8s,10.0,0,13,rainbow,
flop,Ad6d,10.0,0,12,two-tone,C
flop,5d2d,10.0,0,9,two-tone,C
flop,QsQc,10.0,0,12,rainbow,
flop,7s7d,10.0,0,12,rainbow,C
flop,9sKd,10.0,0,13,two-tone,C
flop,2h2c,10.0,0,13,two-tone,C
flop,6hQc,10.0,0,13,two-tone,
flop,3d2c,10.0,0,13,rainbow,
flop,9hTh,10.0,0,12,two-tone,C
flop,7h7c,10.0,0,11,two-tone,
flop,KhQd,10.0,0,10,monotone,R
flop,JsKd,10.0,0,12,two-tone,C
flop,JdAs,10.0,0,13,two-tone,C
flop,2s2d,10.0,0,13,rainbow,C
flop,KcAs,10.0,0,13,rainbow,
flop,TdQh,10.0,0,13,two-tone,C
flop,QsAh,10.0,0,12,two-tone,
flop,6h4h,10.0,0,12,two-tone,C
flop,5s9s,10.0,0,12,two-tone,C
flop,Ah2s,10.0,0,13,two-tone,C
flop,3dTd,10.0,0,13,two-tone,
flop,Ah2h,10.0,0,13,two-tone,C
flop,Ad4s,10.0,0,13,rainbow,C
flop,8hKc,10.0,0,11,rainbow,C
flop,Ah4h,10.0,0,12,rainbow,C
flop,5sAd,10.0,0,12,two-tone,C
flop,JcJs,10.0,0,12,two-tone,R
flop,Ah6c,10.0,0,12,two-tone,C
flop,9h9s,10.0,0,13,two-tone,R
flop,ThKd,10.0,0,13,rainbow,C
flop,4hAh,10.0,0,13,two-tone,C
flop,9dAd,10.0,0,13,rainbow,C
flop,AdJs,10.0,0,13,rainbow,C
flop,KsKh,10.0,0,13,rainbow,R
flop,2s2d,10.0,0,12,two-tone,C
flop,Jc3h,10.0,0,11,two-tone,C
flop,2dKd,10.0,0,13,two-tone,C
flop,7d7h,10.0,0,13,rainbow,C
flop,JsJh,10.0,0,11,two-tone,C
flop,Ts9c,10.0,0,9,rainbow,C
flop,8cJd,10.0,0,8,two-tone,
flop,Kc2h,10.0,0,11,rainbow,
flop,7sAs,10.0,0,11,rainbow,C
flop,QhKd,10.0,0,13,two-tone,C
flop,QcJc,10.0,0,13,monotone,C
flop,9hJc,10.0,0,13,rainbow,C
flop,KdKs,10.0,0,12,two-tone,C
flop,8d6s,10.0,0,13,two-tone,
flop,TsQs,10.0,0,12,rainbow,R
flop,9d8s,10.0,0,12,rainbow,
flop,JhTh,10.0,0,12,rainbow,C
flop,QdQh,10.0,0,13,rainbow,C
flop,Kd6d,10.0,0,12,two-tone,C
flop,7d7c,10.0,0,13,two-tone,
flop,8c3h,10.0,0,13,rainbow,C
flop,Td7d,10.0,0,13,rainbow,C
flop,5s6c,10.0,0,13,rainbow,C
flop,AcQh,10.0,0,12,two-tone,
flop,8dKs,10.0,0,13,rainbow,C
flop,9dTd,10.0,0,13,rainbow,C
flop,TcTh,10.0,0,11,two-tone,C
flop,AhJc,10.0,0,13,two-tone,R
flop,8d6d,10.0,0,13,two-tone,C
flop,6hKh,10.0,0,12,two-tone,
flop,KcKs,10.0,0,13,two-tone,C
flop,6c6h,10.0,0,13,rainbow,C
flop,KcTd,10.0,0,13,two-tone,C
flop,QsJh,10.0,0,13,two-tone,C
flop,AsKh,10.0,0,13,two-tone,C
flop,KdJh,10.0,0,13,two-tone,
flop,As2h,10.0,0,13,rainbow,C
flop,7c5c,10.0,0,13,two-tone,
flop,Ad3c,10.0,0,11,two-tone,C
flop,7h7c,10.0,0,10,rainbow,C
flop,9hTc,10.0,0,12,two-tone,C
flop,QcJh,10.0,0,12,rainbow,C
flop,9dAc,10.0,0,12,two-tone,C
flop,KdAh,10.0,0,13,two-tone,C
flop,4c5c,10.0,0,11,rainbow,C
flop,5s5d,10.0,0,13,two-tone,C
flop,Ac9d,10.0,0,12,two-tone,C
flop,Th9h,10.0,0,13,rainbow,
flop,ThTd,10.0,0,13,two-tone,C
flop,7dKd,10.0,0,13,two-tone,C
flop,Ac8s,10.0,0,13,two-tone,C
flop,4cKh,10.0,0,13,rainbow,C
flop,As9s,10.0,0,13,monotone,C
flop,KsAs,10.0,0,13,two-tone,C
flop,ThQc,10.0,0,13,two-tone,C
flop,QhKd,10.0,0,13,two-tone,C
flop,8d5d,10.0,0,12,rainbow,C
flop,JcQc,10.0,0,10,two-tone,C
flop,TsKs,10.0,0,13,rainbow,C
flop,AsJs,10.0,0,13,rainbow,
flop,6h8h,10.0,0,13,two-tone,C
flop,7dTh,10.0,0,11,two-tone,
flop,9s3s,10.0,0,12,two-tone,C
flop,TsJh,10.0,0,13,monotone,C
flop,AsJc,10.0,0,13,rainbow,C
flop,8dTs,10.0,0,13,two-tone,C
flop,6cAc,10.0,0,13,two-tone,
flop,QhAs,10.0,0,13,two-tone,
flop,KcQd,10.0,0,13,two-tone,C
flop,Js2s,10.0,0,13,rainbow,C
flop,AhJd,10.0,0,13,rainbow,C
flop,3dTd,10.0,0,7,two-tone,C
flop,Ad9h,10.0,0,11,two-tone,C
flop,6c3s,10.0,0,12,rainbow,
flop,9cKd,10.0,0,11,two-tone,C
flop,KsKh,10.0,0,13,rainbow,R
flop,KhTh,10.0,0,13,rainbow,C
flop,KsJs,10.0,0,13,two-tone,C
flop,KhTh,10.0,0,12,rainbow,C
flop,9hKh,10.0,0,13,rainbow,R
flop,9sQh,10.0,0,13,rainbow,R
flop,6c2c,10.0,0,13,rainbow,C
flop,Kd9d,10.0,0,13,rainbow,C
flop,8cQc,10.0,0,12,monotone,C
flop,9cAs,10.0,0,13,two-tone,C
flop,3hJh,10.0,0,13,monotone,C
flop,JhKh,10.0,0,13,monotone,C
flop,AdJs,10.0,0,13,two-tone,
flop,5s3c,10.0,0,13,rainbow,
flop,9cQc,10.0,0,13,rainbow,
flop,Js2h,10.0,0,9,two-tone,C
flop,Jd9d,10.0,0,9,rainbow,
flop,7s5d,10.0,0,9,two-tone,C
flop,QhTd,10.0,0,11,rainbow,R
flop,Ac3d,10.0,0,13,two-tone,C
flop,JsKh,10.0,0,13,rainbow,C
flop,2hAd,10.0,0,13,rainbow,C
flop,As9s,10.0,0,11,two-tone,C
flop,QhQd,10.0,0,11,two-tone,C
flop,Qc3d,10.0,0,13,monotone,
flop,5hJd,10.0,0,13,two-tone,C
flop,8s3c,10.0,0,13,two-tone,
flop,QsKc,10.0,0,13,two-tone,C
flop,9s9d,10.0,0,13,two-tone,C
flop,5s5c,10.0,0,13,rainbow,R
flop,KsQc,10.0,0,13,rainbow,
flop,KsAd,10.0,0,13,two-tone,C
flop,Ad3s,10.0,0,13,two-tone,
flop,KcKd,10.0,0,13,two-tone,
flop,2c2d,10.0,0,13,two-tone,
flop,4d2s,10.0,0,13,two-tone,
flop,3hKd,10.0,0,11,rainbow,C
flop,3h2h,10.0,0,13,rainbow,C
flop,3dAh,10.0,0,13,two-tone,C
flop,7s8c,10.0,0,13,two-tone,
flop,8hAs,10.0,0,13,two-tone,C
flop,9sJh,10.0,0,13,two-tone,
flop,Ks6s,10.0,0,13,monotone,C
flop,5s4h,10.0,0,13,two-tone,C
flop,5h3c,10.0,0,13,two-tone,C
flop,9s9d,10.0,0,13,two-tone,C
flop,2dKc,10.0,0,13,two-tone,C
flop,3dJc,10.0,0,13,rainbow,
flop,AhKc,10.0,0,12,rainbow,C
flop,Ac7s,10.0,0,12,rainbow,
flop,KsKc,10.0,0,12,rainbow,
flop,KdKs,10.0,0,12,rainbow,C
flop,Kh5s,10.0,0,10,two-tone,
flop,3cQc,10.0,0,13,two-tone,C
flop,5h5s,10.0,0,13,two-tone,R
flop,3dAd,10.0,0,13,two-tone,C
flop,3cAh,10.0,0,13,rainbow,C
flop,5d4d,10.0,0,13,rainbow,C
flop,Ah2s,10.0,0,13,rainbow,
flop,KsAc,10.0,0,13,two-tone,C
flop,As5s,10.0,0,13,two-tone,C
flop,TdQs,10.0,0,13,two-tone,C
flop,3h7c,10.0,0,13,two-tone,
flop,ThTd,10.0,0,13,two-tone,C
flop,JsQs,10.0,0,13,two-tone,C
flop,QdQc,10.0,0,13,two-tone,C
flop,AsQd,10.0,0,13,two-tone,R
flop,JcKh,10.0,0,13,two-tone,R
flop,9cJc,10.0,0,13,two-tone,C
flop,AcQs,10.0,0,13,rainbow,C
flop,Kc4c,10.0,0,13,rainbow,C
flop,ThAc,10.0,0,13,two-tone,
flop,9d8s,10.0,0,13,rainbow,C
